Complaint_ID,User_Name,Location,Input_Type,Complaint_Text,Category,Severity,Status,Date,Accuracy
CMP800625,User_56526,Trichy,Web Portal,The cooling system in the hospital mortuary is not working properly.,Health & Medical Issues,Medium,Open,2025-07-08,0.95
CMP800626,User_41269,Coimbatore,Call Center,The mid-day meal served to the children is unhygienic and lacks nutrition.,Education & School Issues,Medium,Resolved,2025-04-25,0.95
CMP800627,User_61844,Chennai,Call Center,There is a swarm of honeybees near the school entrance that needs to be removed.,Animal & Wildlife Issues,High,In Progress,2025-07-14,0.95
CMP800628,User_20000,Madurai,Web Portal,The application for my community certificate has been pending for over three months.,Government Service Delivery Issues,Medium,Open,2025-08-08,0.95
CMP800629,User_91464,Kanchipuram,Mobile App,"Pigs are roaming in the garbage heaps near the residential colony, spreading disease.",Animal & Wildlife Issues,Medium,Resolved,2025-12-18,0.95
CMP800630,User_25064,Thanjavur,Call Center,The information provided by the help desk at the Collectorate is misleading.,Government Service Delivery Issues,High,Open,2025-03-03,0.95
CMP800631,User_16452,Kanchipuram,Call Center,The officer in charge of the ration card section is always absent from his seat.,Government Service Delivery Issues,High,In Progress,2025-10-21,0.95
CMP800632,User_92027,Madurai,Web Portal,Permission is requested for conducting a religious procession on the main street.,General Administrative Department,High,Resolved,2026-01-03,0.95
CMP800633,User_86108,Madurai,Call Center,A local provision store has illegally extended its roof over the public drain.,General Administrative Department,Low,In Progress,2025-11-25,0.95
CMP800634,User_99591,Erode,Mobile App,My old age pension has stopped coming without any prior notice or reason.,Government Service Delivery Issues,Low,In Progress,2025-07-31,0.95
CMP800635,User_28484,Trichy,Web Portal,Doctors at the government clinic are referring patients to private pharmacies for profit.,Health & Medical Issues,Medium,Resolved,2025-12-20,0.95
CMP800636,User_35930,Kanchipuram,Mobile App,Requesting a public hearing regarding the new commercial project in our area.,General Administrative Department,Low,In Progress,2025-07-13,0.95
CMP800637,User_18887,Salem,Call Center,Stagnant water in the hospital backyard is becoming a breeding ground for mosquitoes.,Health & Medical Issues,Medium,In Progress,2025-11-20,0.95
CMP800638,User_91106,Vellore,Mobile App,Emergency ambulance service did not arrive even after several calls for an accident.,Health & Medical Issues,Medium,In Progress,2026-02-23,0.95
CMP800639,User_82971,Tirunelveli,Mobile App,Stagnant water in the hospital backyard is becoming a breeding ground for mosquitoes.,Health & Medical Issues,Low,Open,2026-02-16,0.95
CMP800640,User_13011,Tirunelveli,Call Center,"The school playground is filled with thorns and stones, making it unsafe for play.",Education & School Issues,Medium,In Progress,2025-06-17,0.95
CMP800641,User_26104,Chennai,Mobile App,The CCTV cameras installed at the main junction are non-functional.,Public Safety & Law Issues,High,Resolved,2025-08-28,0.95
CMP800642,User_11670,Trichy,Mobile App,The drinking water supplied in our colony has a brownish tint and a foul smell.,Water Supply Issues,High,In Progress,2025-08-13,0.95
CMP800643,User_95735,Vellore,Mobile App,There is no clean drinking water facility for the students in the school building.,Education & School Issues,Low,Resolved,2025-04-06,0.95
CMP800644,User_67968,Erode,Mobile App,A large pack of stray dogs is roaming the street and attacking pedestrians.,Animal & Wildlife Issues,High,In Progress,2025-06-24,0.95
CMP800645,User_43868,Vellore,Web Portal,There is no clean drinking water facility for the students in the school building.,Education & School Issues,Low,In Progress,2025-10-28,0.95
CMP800646,User_93440,Chennai,Call Center,The local cemetery is overgrown with weeds and lacks proper fencing.,General Administrative Department,Low,Resolved,2025-03-29,0.95
CMP800647,User_24242,Thanjavur,Web Portal,The online portal for paying property tax is frequently crashing and not working.,Government Service Delivery Issues,Medium,In Progress,2025-12-24,0.95
CMP800648,User_60288,Madurai,Call Center,A poisonous snake was spotted in the garden of a house near the public park.,Animal & Wildlife Issues,High,Resolved,2025-08-05,0.95
CMP800649,User_14882,Trichy,Mobile App,It is very difficult to get an appointment for Aadhaar card correction in our zone.,Government Service Delivery Issues,Low,Open,2025-06-14,0.95
CMP800650,User_66226,Erode,Call Center,The CCTV cameras installed at the main junction are non-functional.,Public Safety & Law Issues,Medium,In Progress,2025-07-30,0.95
CMP800651,User_96513,Kanchipuram,Call Center,Requesting a public hearing regarding the new commercial project in our area.,General Administrative Department,Medium,Resolved,2025-08-05,0.95
CMP800652,User_69342,Tirunelveli,Mobile App,"The public garbage bin is overflowing, and waste is scattered all over the street.",Garbage & Sanitation Issues,High,Open,2025-05-20,0.95
CMP800653,User_71305,Thanjavur,Mobile App,"The street lights on the main road are not functioning, making it unsafe for commuters.",Electricity Issues,Medium,In Progress,2025-09-15,0.95
CMP800654,User_49282,Madurai,Call Center,Sewage water is getting mixed with the drinking water line due to a pipe crack.,Water Supply Issues,High,Open,2025-04-24,0.95
CMP800655,User_90648,Erode,Mobile App,A group of people are creating a nuisance by consuming alcohol in the public park.,Public Safety & Law Issues,Low,Open,2025-07-28,0.95
CMP800656,User_90013,Vellore,Mobile App,There is a severe shortage of doctors and nurses at the primary health center.,Health & Medical Issues,Low,Open,2025-07-21,0.95
CMP800657,User_20822,Chennai,Mobile App,The mid-day meal served to the children is unhygienic and lacks nutrition.,Education & School Issues,Medium,Open,2025-04-06,0.95
CMP800658,User_15953,Salem,Call Center,Emergency ambulance service did not arrive even after several calls for an accident.,Health & Medical Issues,Low,In Progress,2025-11-20,0.95
CMP800659,User_86537,Coimbatore,Web Portal,Requesting a public hearing regarding the new commercial project in our area.,General Administrative Department,High,Open,2025-05-17,0.95
CMP800660,User_91078,Trichy,Mobile App,Requesting the installation of new street lights in the dark alleys of the colony.,Road & Infrastructure Issues,Medium,Open,2025-06-28,0.95
CMP800661,User_98160,Thanjavur,Web Portal,"Desks and benches are broken, and children are forced to sit on the floor.",Education & School Issues,Low,Resolved,2025-10-09,0.95
CMP800662,User_11444,Tirunelveli,Call Center,"Unauthorized motor pumps are being used by some residents, affecting the supply to others.",Water Supply Issues,Low,In Progress,2025-04-03,0.95
CMP800663,User_77694,Erode,Mobile App,Requesting a free vaccination camp for the children in our low-income neighborhood.,Health & Medical Issues,High,Open,2025-05-30,0.95
CMP800664,User_74368,Thanjavur,Web Portal,The roof of the government primary school is leaking heavily during the rains.,Education & School Issues,High,Open,2025-03-06,0.95
CMP800665,User_41420,Madurai,Web Portal,There is no separate toilet facility for girl students in the middle school.,Education & School Issues,Low,In Progress,2025-07-22,0.95
CMP800666,User_97561,Tirunelveli,Call Center,The E-Seva center in our area remains closed during official working hours.,Government Service Delivery Issues,Low,Resolved,2025-07-17,0.95
CMP800667,User_65893,Vellore,Call Center,A poisonous snake was spotted in the garden of a house near the public park.,Animal & Wildlife Issues,High,In Progress,2026-02-24,0.95
CMP800668,User_24459,Vellore,Mobile App,"Desks and benches are broken, and children are forced to sit on the floor.",Education & School Issues,High,In Progress,2025-06-07,0.95
CMP800669,User_28584,Erode,Call Center,"Unauthorized motor pumps are being used by some residents, affecting the supply to others.",Water Supply Issues,Low,In Progress,2025-08-14,0.95
CMP800670,User_15149,Thanjavur,Call Center,The public toilet in the market area is extremely unhygienic and has no water.,Garbage & Sanitation Issues,High,Resolved,2025-12-26,0.95
CMP800671,User_69334,Trichy,Web Portal,I have received an abnormally high electricity bill despite minimal usage this month.,Electricity Issues,Medium,Resolved,2025-09-01,0.95
CMP800672,User_36187,Coimbatore,Mobile App,"A portion of the pavement has collapsed, making it difficult for pedestrians to walk.",Road & Infrastructure Issues,High,In Progress,2025-12-15,0.95
CMP800673,User_78528,Coimbatore,Call Center,Sewage water is getting mixed with the drinking water line due to a pipe crack.,Water Supply Issues,Low,Open,2025-10-30,0.95
CMP800674,User_92820,Vellore,Call Center,The online portal for paying property tax is frequently crashing and not working.,Government Service Delivery Issues,Medium,In Progress,2025-12-02,0.95
CMP800675,User_42432,Vellore,Call Center,The power cable connecting to our house has snapped due to heavy winds.,Electricity Issues,Medium,In Progress,2025-12-23,0.95
CMP800676,User_29212,Erode,Mobile App,High voltage fluctuations have damaged several electronic appliances in our house.,Electricity Issues,High,Open,2025-11-29,0.95
CMP800677,User_16199,Salem,Call Center,It is very difficult to get an appointment for Aadhaar card correction in our zone.,Government Service Delivery Issues,High,In Progress,2025-09-01,0.95
CMP800678,User_66379,Thanjavur,Call Center,A local provision store has illegally extended its roof over the public drain.,General Administrative Department,High,Resolved,2025-03-12,0.95
CMP800679,User_67753,Coimbatore,Mobile App,Food provided to the patients in the general ward is of very poor quality.,Health & Medical Issues,Low,Open,2025-11-11,0.95
CMP800680,User_95719,Thanjavur,Web Portal,"The school playground is filled with thorns and stones, making it unsafe for play.",Education & School Issues,Low,Resolved,2025-05-27,0.95
CMP800681,User_22922,Vellore,Mobile App,Illegal dumping of construction debris is blocking the flow of the rainwater drain.,Garbage & Sanitation Issues,Medium,Open,2025-09-07,0.95
CMP800682,User_13868,Erode,Call Center,The bridge connecting the two villages has developed visible cracks on the pillars.,Road & Infrastructure Issues,Low,Open,2025-11-29,0.95
CMP800683,User_86236,Chennai,Web Portal,"The water pressure is extremely low, making it impossible to fill overhead tanks.",Water Supply Issues,Low,Open,2026-01-09,0.95
CMP800684,User_26570,Thanjavur,Web Portal,Monkeys have entered our residential area and are damaging roof tiles and tanks.,Animal & Wildlife Issues,High,Open,2025-05-26,0.95
CMP800685,User_84962,Coimbatore,Call Center,The digital meter in my premises is running too fast and needs a technical check.,Electricity Issues,High,Resolved,2025-07-25,0.95
CMP800686,User_83513,Trichy,Web Portal,The valve man has not turned on the supply at the scheduled morning time for a week.,Water Supply Issues,High,In Progress,2025-04-09,0.95
CMP800687,User_71421,Erode,Mobile App,A stray bull has damaged several parked cars in the market parking area.,Animal & Wildlife Issues,Low,Open,2025-07-12,0.95
CMP800688,User_61069,Thanjavur,Call Center,"Street dogs are chasing bikers at night, leading to serious road accidents.",Public Safety & Law Issues,Low,In Progress,2025-09-25,0.95
CMP800689,User_69195,Erode,Web Portal,The officer in charge of the ration card section is always absent from his seat.,Government Service Delivery Issues,High,Open,2025-05-11,0.95
CMP800690,User_11010,Kanchipuram,Web Portal,A group of people are creating a nuisance by consuming alcohol in the public park.,Public Safety & Law Issues,Medium,In Progress,2025-12-07,0.95
CMP800691,User_95546,Madurai,Call Center,The science laboratory lacks basic equipment for conducting practical exams.,Education & School Issues,Low,Resolved,2025-12-31,0.95
CMP800692,User_91659,Erode,Call Center,"The water pressure is extremely low, making it impossible to fill overhead tanks.",Water Supply Issues,Low,Open,2026-01-23,0.95
CMP800693,User_12199,Erode,Call Center,The mid-day meal served to the children is unhygienic and lacks nutrition.,Education & School Issues,Low,Open,2025-06-23,0.95
CMP800694,User_95532,Chennai,Web Portal,There is a continuous leak in the public water tap located near the community park.,Water Supply Issues,Low,Open,2025-06-04,0.95
CMP800695,User_54887,Trichy,Call Center,A poisonous snake was spotted in the garden of a house near the public park.,Animal & Wildlife Issues,Medium,Resolved,2025-11-07,0.95
CMP800696,User_21583,Coimbatore,Web Portal,Stagnant water on the road after rain is making the street impassable.,Road & Infrastructure Issues,Medium,In Progress,2025-05-05,0.95
CMP800697,User_19063,Vellore,Mobile App,There is a terrible stench in the area due to animal waste dumped in the open.,Garbage & Sanitation Issues,High,In Progress,2025-10-16,0.95
CMP800698,User_13072,Tirunelveli,Mobile App,Monkeys have entered our residential area and are damaging roof tiles and tanks.,Animal & Wildlife Issues,Medium,Open,2026-02-14,0.95
CMP800699,User_95891,Tirunelveli,Mobile App,The management of the local temple is not maintaining the premises properly.,General Administrative Department,Medium,In Progress,2025-09-15,0.95
CMP800700,User_65512,Vellore,Mobile App,"Street dogs are chasing bikers at night, leading to serious road accidents.",Public Safety & Law Issues,Low,In Progress,2025-05-22,0.95
CMP800701,User_66749,Kanchipuram,Call Center,"Several teacher posts are vacant in the high school, affecting the students' syllabus.",Education & School Issues,High,In Progress,2025-10-26,0.95
CMP800702,User_77640,Salem,Web Portal,A mobile tower is being installed in a residential zone without proper permits.,General Administrative Department,Medium,Open,2025-07-05,0.95
CMP800703,User_10412,Madurai,Web Portal,The trust managing the community hall is overcharging for local residents' bookings.,General Administrative Department,Medium,Resolved,2025-10-04,0.95
CMP800704,User_13989,Salem,Mobile App,The fans and lights in the classrooms are not working for the last two months.,Education & School Issues,Low,Resolved,2025-12-07,0.95
CMP800705,User_49117,Thanjavur,Call Center,A group of people are creating a nuisance by consuming alcohol in the public park.,Public Safety & Law Issues,Medium,In Progress,2025-12-31,0.95
CMP800706,User_31624,Trichy,Web Portal,Unauthorized shops and stalls have encroached upon the entire width of the footpath.,Public Safety & Law Issues,High,Open,2025-02-27,0.95
CMP800707,User_31880,Erode,Call Center,Live electrical wires are hanging dangerously low near the school entrance.,Electricity Issues,High,Open,2025-11-26,0.95
CMP800708,User_28175,Erode,Call Center,"The public garbage bin is overflowing, and waste is scattered all over the street.",Garbage & Sanitation Issues,Medium,Open,2025-04-06,0.95
CMP800709,User_97419,Kanchipuram,Call Center,The local government hospital is lacking basic medicines like paracetamol and insulin.,Health & Medical Issues,High,Open,2026-01-21,0.95
CMP800710,User_86514,Coimbatore,Web Portal,Requesting a free vaccination camp for the children in our low-income neighborhood.,Health & Medical Issues,High,In Progress,2025-12-04,0.95
CMP800711,User_34763,Vellore,Web Portal,The local shelter for stray animals is overcrowded and in a pathetic condition.,Animal & Wildlife Issues,Low,Resolved,2025-11-28,0.95
CMP800712,User_56008,Chennai,Call Center,The traffic signal at the main crossroad is stuck on red for all directions.,Public Safety & Law Issues,Low,In Progress,2025-11-26,0.95
CMP800713,User_56138,Erode,Web Portal,There has been a total power failure in the entire street for the last five hours.,Electricity Issues,Medium,Resolved,2025-06-08,0.95
CMP800714,User_77263,Coimbatore,Mobile App,There is no separate toilet facility for girl students in the middle school.,Education & School Issues,Low,Resolved,2025-08-25,0.95
CMP800715,User_77213,Madurai,Web Portal,Requesting a free vaccination camp for the children in our low-income neighborhood.,Health & Medical Issues,Medium,Open,2025-11-13,0.95
CMP800716,User_26639,Coimbatore,Mobile App,My old age pension has stopped coming without any prior notice or reason.,Government Service Delivery Issues,Low,In Progress,2025-05-25,0.95
CMP800717,User_42976,Thanjavur,Mobile App,My old age pension has stopped coming without any prior notice or reason.,Government Service Delivery Issues,High,In Progress,2025-08-04,0.95
CMP800718,User_10728,Madurai,Mobile App,There has been a total power failure in the entire street for the last five hours.,Electricity Issues,Low,Resolved,2025-04-23,0.95
CMP800719,User_49118,Vellore,Mobile App,Frequent unannounced power cuts are happening every two hours throughout the day.,Electricity Issues,Low,Resolved,2025-03-27,0.95
CMP800720,User_20464,Trichy,Web Portal,There is a swarm of honeybees near the school entrance that needs to be removed.,Animal & Wildlife Issues,Low,In Progress,2025-11-23,0.95
CMP800721,User_42242,Kanchipuram,Web Portal,"Rabid dogs have been sighted in the area, posing a danger to local residents.",Animal & Wildlife Issues,Medium,In Progress,2026-01-22,0.95
CMP800722,User_43256,Erode,Web Portal,The speed breaker near the hospital is not painted and is invisible at night.,Road & Infrastructure Issues,High,In Progress,2025-10-08,0.95
CMP800723,User_53958,Kanchipuram,Web Portal,The local government hospital is lacking basic medicines like paracetamol and insulin.,Health & Medical Issues,Low,In Progress,2026-01-24,0.95
CMP800724,User_75532,Chennai,Call Center,"A major pipeline burst has occurred near the main junction, causing heavy water wastage.",Water Supply Issues,High,Resolved,2025-12-21,0.95
CMP800725,User_26378,Kanchipuram,Web Portal,Requesting a new water connection for a newly constructed residential building.,Water Supply Issues,Low,In Progress,2025-07-19,0.95
CMP800726,User_95168,Salem,Mobile App,There is a continuous leak in the public water tap located near the community park.,Water Supply Issues,Low,In Progress,2025-07-28,0.95
CMP800727,User_93347,Kanchipuram,Call Center,"The street lights on the main road are not functioning, making it unsafe for commuters.",Electricity Issues,Low,In Progress,2025-05-07,0.95
CMP800728,User_29387,Kanchipuram,Web Portal,The management of the local temple is not maintaining the premises properly.,General Administrative Department,Low,Resolved,2025-05-30,0.95
CMP800729,User_98952,Kanchipuram,Mobile App,Stagnant water on the road after rain is making the street impassable.,Road & Infrastructure Issues,Medium,In Progress,2025-12-12,0.95
CMP800730,User_93653,Tirunelveli,Mobile App,There is a severe shortage of doctors and nurses at the primary health center.,Health & Medical Issues,High,Open,2025-08-12,0.95
CMP800731,User_88459,Trichy,Web Portal,Illegal parking of heavy trucks is causing massive traffic jams during peak hours.,Public Safety & Law Issues,Medium,In Progress,2025-07-12,0.95
CMP800732,User_64171,Erode,Call Center,An electricity transformer is sparking continuously and producing a loud humming noise.,Electricity Issues,Medium,Open,2025-10-22,0.95
CMP800733,User_90891,Salem,Web Portal,There is a continuous leak in the public water tap located near the community park.,Water Supply Issues,Low,Resolved,2025-06-17,0.95
CMP800734,User_37724,Kanchipuram,Web Portal,The bridge connecting the two villages has developed visible cracks on the pillars.,Road & Infrastructure Issues,Medium,Resolved,2025-10-11,0.95
CMP800735,User_90990,Chennai,Mobile App,"The water pressure is extremely low, making it impossible to fill overhead tanks.",Water Supply Issues,Medium,Open,2025-09-04,0.95
CMP800736,User_45914,Trichy,Call Center,The speed breaker near the hospital is not painted and is invisible at night.,Road & Infrastructure Issues,Medium,Resolved,2025-09-08,0.95
CMP800737,User_16694,Tirunelveli,Web Portal,Suspicious individuals have been seen wandering around the residential area lately.,Public Safety & Law Issues,Low,Resolved,2025-10-28,0.95
CMP800738,User_87531,Tirunelveli,Web Portal,"Rabid dogs have been sighted in the area, posing a danger to local residents.",Animal & Wildlife Issues,Low,Resolved,2025-04-22,0.95
CMP800739,User_56974,Chennai,Mobile App,"Rabid dogs have been sighted in the area, posing a danger to local residents.",Animal & Wildlife Issues,Medium,In Progress,2025-03-13,0.95
CMP800740,User_64939,Vellore,Mobile App,The local cemetery is overgrown with weeds and lacks proper fencing.,General Administrative Department,Low,Open,2025-05-06,0.95
CMP800741,User_14941,Thanjavur,Web Portal,The bridge connecting the two villages has developed visible cracks on the pillars.,Road & Infrastructure Issues,High,Open,2025-03-05,0.95
CMP800742,User_23462,Madurai,Call Center,The valve man has not turned on the supply at the scheduled morning time for a week.,Water Supply Issues,High,Open,2025-12-20,0.95
CMP800743,User_73482,Thanjavur,Mobile App,The management of the local temple is not maintaining the premises properly.,General Administrative Department,Medium,Open,2025-07-28,0.95
CMP800744,User_17580,Kanchipuram,Web Portal,The bridge connecting the two villages has developed visible cracks on the pillars.,Road & Infrastructure Issues,Medium,Resolved,2025-11-25,0.95
CMP800745,User_85478,Kanchipuram,Call Center,The trust managing the community hall is overcharging for local residents' bookings.,General Administrative Department,Low,Resolved,2025-04-26,0.95
CMP800746,User_55104,Thanjavur,Call Center,Doctors at the government clinic are referring patients to private pharmacies for profit.,Health & Medical Issues,High,Resolved,2025-05-23,0.95
CMP800747,User_72632,Trichy,Call Center,There is a swarm of honeybees near the school entrance that needs to be removed.,Animal & Wildlife Issues,High,In Progress,2025-08-05,0.95
CMP800748,User_70537,Chennai,Mobile App,Medical waste from a nearby clinic is being disposed of in the common dustbin.,Garbage & Sanitation Issues,Low,Open,2025-10-04,0.95
CMP800749,User_48535,Vellore,Mobile App,The staff at the Taluk office are demanding a bribe to process my house patta.,Government Service Delivery Issues,Medium,Open,2025-06-09,0.95
CMP800750,User_96687,Kanchipuram,Call Center,"The hospital premises are very dirty, and the washrooms are not being cleaned.",Health & Medical Issues,Medium,Resolved,2025-09-07,0.95
CMP800751,User_77109,Tirunelveli,Web Portal,Emergency ambulance service did not arrive even after several calls for an accident.,Health & Medical Issues,High,Resolved,2025-10-01,0.95
CMP800752,User_18037,Coimbatore,Mobile App,Unauthorized shops and stalls have encroached upon the entire width of the footpath.,Public Safety & Law Issues,Low,Resolved,2025-07-16,0.95
CMP800753,User_24846,Vellore,Mobile App,The science laboratory lacks basic equipment for conducting practical exams.,Education & School Issues,Medium,Resolved,2025-11-07,0.95
CMP800754,User_89611,Madurai,Call Center,There is a severe shortage of doctors and nurses at the primary health center.,Health & Medical Issues,Low,Resolved,2025-08-11,0.95
CMP800755,User_29607,Madurai,Web Portal,There has been a total power failure in the entire street for the last five hours.,Electricity Issues,Medium,Resolved,2025-10-26,0.95
CMP800756,User_56813,Madurai,Mobile App,"Road expansion work has been left incomplete for months, causing massive dust pollution.",Road & Infrastructure Issues,High,Resolved,2025-04-10,0.95
CMP800757,User_20339,Chennai,Web Portal,"Street dogs are chasing bikers at night, leading to serious road accidents.",Public Safety & Law Issues,Medium,In Progress,2025-08-29,0.95
CMP800758,User_25390,Vellore,Call Center,The speed breaker near the hospital is not painted and is invisible at night.,Road & Infrastructure Issues,Medium,In Progress,2025-08-02,0.95
CMP800759,User_11334,Erode,Mobile App,I have received an abnormally high electricity bill despite minimal usage this month.,Electricity Issues,High,In Progress,2025-07-29,0.95
CMP800760,User_87150,Kanchipuram,Call Center,Illegal parking of heavy trucks is causing massive traffic jams during peak hours.,Public Safety & Law Issues,Medium,In Progress,2025-03-14,0.95
CMP800761,User_33046,Salem,Web Portal,The public toilet in the market area is extremely unhygienic and has no water.,Garbage & Sanitation Issues,High,Resolved,2025-08-11,0.95
CMP800762,User_15370,Vellore,Web Portal,I am not being provided with a receipt for the fees paid at the municipal office.,Government Service Delivery Issues,High,Resolved,2025-06-09,0.95
CMP800763,User_87625,Salem,Web Portal,"A portion of the pavement has collapsed, making it difficult for pedestrians to walk.",Road & Infrastructure Issues,Medium,In Progress,2025-07-30,0.95
CMP800764,User_15788,Coimbatore,Web Portal,"The school playground is filled with thorns and stones, making it unsafe for play.",Education & School Issues,Medium,Open,2025-03-25,0.95
CMP800765,User_55496,Chennai,Mobile App,The trust managing the community hall is overcharging for local residents' bookings.,General Administrative Department,High,Open,2025-09-04,0.95
CMP800766,User_60386,Salem,Call Center,"Cattle owners are leaving their cows on the main road, causing traffic hazards.",Animal & Wildlife Issues,Low,Open,2025-05-30,0.95
CMP800767,User_41160,Thanjavur,Call Center,"The public garbage bin is overflowing, and waste is scattered all over the street.",Garbage & Sanitation Issues,Medium,Resolved,2026-01-29,0.95
CMP800768,User_80108,Chennai,Mobile App,Illegal parking of heavy trucks is causing massive traffic jams during peak hours.,Public Safety & Law Issues,Medium,In Progress,2025-08-08,0.95
CMP800769,User_82703,Thanjavur,Web Portal,Requesting a new water connection for a newly constructed residential building.,Water Supply Issues,Low,Open,2026-01-14,0.95
CMP800770,User_86959,Trichy,Web Portal,The power cable connecting to our house has snapped due to heavy winds.,Electricity Issues,High,Open,2025-09-25,0.95
CMP800771,User_13104,Tirunelveli,Call Center,"The local water storage tank has not been cleaned in several months, posing a health risk.",Water Supply Issues,High,In Progress,2025-12-18,0.95
CMP800772,User_55288,Chennai,Call Center,Food provided to the patients in the general ward is of very poor quality.,Health & Medical Issues,Medium,In Progress,2026-01-19,0.95
CMP800773,User_80884,Tirunelveli,Mobile App,"The hospital premises are very dirty, and the washrooms are not being cleaned.",Health & Medical Issues,High,In Progress,2025-06-15,0.95
CMP800774,User_62228,Erode,Web Portal,"Road expansion work has been left incomplete for months, causing massive dust pollution.",Road & Infrastructure Issues,Medium,In Progress,2025-05-01,0.95
CMP800775,User_68217,Erode,Call Center,Unmarked road cuttings for cable work have not been filled back properly.,Road & Infrastructure Issues,Low,Open,2026-02-08,0.95
CMP800776,User_50329,Vellore,Call Center,Unauthorized shops and stalls have encroached upon the entire width of the footpath.,Public Safety & Law Issues,Medium,Resolved,2025-04-26,0.95
CMP800777,User_32777,Vellore,Call Center,Loud music is being played at a nearby function hall well past midnight.,Public Safety & Law Issues,Medium,Open,2025-08-13,0.95
CMP800778,User_77163,Salem,Mobile App,There is a severe shortage of doctors and nurses at the primary health center.,Health & Medical Issues,High,In Progress,2025-05-17,0.95
CMP800779,User_23029,Erode,Call Center,The trust managing the community hall is overcharging for local residents' bookings.,General Administrative Department,Low,Resolved,2025-12-20,0.95
CMP800780,User_86397,Trichy,Call Center,There is a dispute regarding the boundary wall between two private properties.,General Administrative Department,Medium,Open,2025-10-05,0.95
CMP800781,User_90258,Chennai,Web Portal,There is a severe shortage of doctors and nurses at the primary health center.,Health & Medical Issues,High,In Progress,2025-10-28,0.95
CMP800782,User_35295,Tirunelveli,Mobile App,The bridge connecting the two villages has developed visible cracks on the pillars.,Road & Infrastructure Issues,Low,Open,2025-03-11,0.95
CMP800783,User_55462,Chennai,Web Portal,There is a continuous leak in the public water tap located near the community park.,Water Supply Issues,Medium,In Progress,2025-09-26,0.95
CMP800784,User_19690,Erode,Mobile App,A stray bull has damaged several parked cars in the market parking area.,Animal & Wildlife Issues,Low,In Progress,2025-03-08,0.95
CMP800785,User_24521,Coimbatore,Mobile App,Incidents of chain snatching have increased near the public park in the evenings.,Public Safety & Law Issues,Low,Resolved,2026-01-19,0.95
CMP800786,User_46685,Tirunelveli,Mobile App,The valve man has not turned on the supply at the scheduled morning time for a week.,Water Supply Issues,Low,Resolved,2025-04-19,0.95
CMP800787,User_82738,Tirunelveli,Mobile App,The power cable connecting to our house has snapped due to heavy winds.,Electricity Issues,High,In Progress,2025-12-19,0.95
CMP800788,User_90328,Tirunelveli,Call Center,An electricity transformer is sparking continuously and producing a loud humming noise.,Electricity Issues,Medium,Resolved,2025-11-23,0.95
CMP800789,User_88417,Vellore,Web Portal,Illegal parking of heavy trucks is causing massive traffic jams during peak hours.,Public Safety & Law Issues,High,Resolved,2025-09-30,0.95
CMP800790,User_23349,Madurai,Call Center,The fans and lights in the classrooms are not working for the last two months.,Education & School Issues,High,In Progress,2026-02-07,0.95
CMP800791,User_22830,Kanchipuram,Web Portal,Requesting the installation of new street lights in the dark alleys of the colony.,Road & Infrastructure Issues,Medium,Open,2025-07-24,0.95
CMP800792,User_51104,Thanjavur,Mobile App,A neighborhood shop is causing noise pollution by using a generator all day.,General Administrative Department,High,Open,2025-09-11,0.95
CMP800793,User_56377,Salem,Mobile App,A poisonous snake was spotted in the garden of a house near the public park.,Animal & Wildlife Issues,Low,In Progress,2025-12-07,0.95
CMP800794,User_91713,Trichy,Call Center,"The school playground is filled with thorns and stones, making it unsafe for play.",Education & School Issues,High,Resolved,2025-04-09,0.95
CMP800795,User_47066,Madurai,Call Center,The garbage collection truck has not visited our street for the last ten days.,Garbage & Sanitation Issues,Medium,In Progress,2025-09-18,0.95
CMP800796,User_84204,Coimbatore,Mobile App,"The street lights on the main road are not functioning, making it unsafe for commuters.",Electricity Issues,Medium,In Progress,2025-05-09,0.95
CMP800797,User_50661,Vellore,Call Center,The E-Seva center in our area remains closed during official working hours.,Government Service Delivery Issues,High,Resolved,2025-04-19,0.95
CMP800798,User_28696,Salem,Call Center,A mobile tower is being installed in a residential zone without proper permits.,General Administrative Department,Medium,Resolved,2025-10-14,0.95
CMP800799,User_99372,Thanjavur,Mobile App,The fans and lights in the classrooms are not working for the last two months.,Education & School Issues,Medium,Open,2025-11-05,0.95
CMP800800,User_19188,Vellore,Web Portal,The digital meter in my premises is running too fast and needs a technical check.,Electricity Issues,Low,Resolved,2025-06-30,0.95
CMP800801,User_78450,Tirunelveli,Call Center,Suspicious individuals have been seen wandering around the residential area lately.,Public Safety & Law Issues,Low,In Progress,2025-09-05,0.95
CMP800802,User_11139,Salem,Call Center,Stagnant water on the road after rain is making the street impassable.,Road & Infrastructure Issues,Medium,Open,2025-12-14,0.95
CMP800803,User_12453,Thanjavur,Web Portal,"A portion of the pavement has collapsed, making it difficult for pedestrians to walk.",Road & Infrastructure Issues,Medium,Resolved,2025-10-02,0.95
CMP800804,User_45068,Coimbatore,Mobile App,Illegal parking of heavy trucks is causing massive traffic jams during peak hours.,Public Safety & Law Issues,Low,Open,2025-10-31,0.95
CMP800805,User_24885,Thanjavur,Web Portal,The online portal for paying property tax is frequently crashing and not working.,Government Service Delivery Issues,High,Resolved,2026-02-12,0.95
CMP800806,User_75998,Erode,Mobile App,The local shelter for stray animals is overcrowded and in a pathetic condition.,Animal & Wildlife Issues,Low,Resolved,2025-12-21,0.95
